Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
40121,1960/01/28,"14 h 34 min 19 sec","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,996437.02,6390445.20,44.55,6.73,5,"ASSEZ SURE"
60095,1960/02/21,"11 h 22 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
60096,1960/02/21,"11 h 24 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
60097,1960/03/03,"18 h 58 min","ALPES NICOISES (CONTES ET PEILLE)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1048503.12,6311526.54,43.82,7.33,2,"INFORMATION ISOLÉE"
40122,1960/05/08,"17 h 30 min","UBAYE (ST-PAUL)","ALPES PROVENCALES",REPLIQUE,997759.43,6390507.91,44.55,6.75,4,"ASSEZ SURE"
650385,1960/05/13,"2 h 15 min 52 sec","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,472627.36,6207778.38,42.93,0.22,4,"ASSEZ SURE"
670107,1960/05/13,"3 h 55 min 34 sec","VOSGES ALSACIENNES (CHAMP-DU-FEU)",ALSACE,,1020374.39,6823576.66,48.43,7.33,5,SURE
670108,1960/05/23,"1 h 8 min 25 sec","VOSGES ALSACIENNES (CHAMP-DU-FEU)",ALSACE,REPLIQUE,1016882.29,6819675.30,48.40,7.28,5,SURE
680086,1960/06/19,"3 h 35 min 14 sec","SUNDGAU (JETTINGEN)",ALSACE,,1029307.91,6729470.99,47.58,7.38,5,SURE
10032,1960/07/12,"0 h 46 min 47 sec","BUGEY (NANTUA)","BRESSE ET JURA BRESSAN",,898125.74,6562500.88,46.13,5.57,5,"ASSEZ SURE"
650386,1960/08/05,"5 h 21 min 35 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,447134.89,6218001.20,43.02,-0.10,5,"ASSEZ SURE"
40123,1960/10/12,"2 h 46 min 21 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,983797.67,6317572.20,43.90,6.53,3.5,"ASSEZ SURE"
650387,1960/10/24,"22 h 6 min","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,475284.72,6205830.85,42.92,0.25,4,"ASSEZ SURE"
650438,1960/11/21,"0 h 50 min","BIGORRE (CAPVERN ?)","PYRENEES CENTRALES",,477351.61,6226156.37,43.10,0.27,4,INCERTAINE
50074,1960/12/05,"19 h 30 min","EMBRUNAIS (VARS)","ALPES DAUPHINOISES",PRECURSEUR,988076.64,6399321.67,44.63,6.63,3.5,ARBITRAIRE
50075,1960/12/06,"1 h 26 min 22 sec","EMBRUNAIS (VARS)","ALPES DAUPHINOISES",,988076.64,6399321.67,44.63,6.63,5,"ASSEZ SURE"
650388,1961/01/15,"4 h 27 min","LAVEDAN (SALLES)","PYRENEES CENTRALES",,447280.36,6221704.60,43.05,-0.10,4,"ASSEZ SURE"
130085,1961/02/23,"20 h 45 min 59 sec","BASSIN D'AIX-EN-PROVENCE (GARDANNE)",PROVENCE,,902416.83,6264415.48,43.45,5.50,4.5,"ASSEZ SURE"
380065,1961/03/03,"0 h 52 min 27 sec","BELLEDONNE (URIAGE)",DAUPHINE,,922685.72,6452222.97,45.13,5.83,5,"ASSEZ SURE"
40124,1961/04/28,"4 h 38 min 33 sec","QUEYRAS (CEILLAC)","ALPES DAUPHINOISES",,999783.45,6403578.61,44.67,6.78,3,"INFORMATION ISOLÉE"
670110,1961/05/02,"7 h 56 min 34 sec","PLAINE DE BASSE-ALSACE (GERSTHEIM)",ALSACE,,1047782.86,6819579.36,48.38,7.70,4,INCERTAINE
670111,1961/05/02,"20 h 40 min","PLAINE DE BASSE-ALSACE (SEMMERSHEIM)",ALSACE,,1041948.35,6813667.60,48.33,7.62,4,INCERTAINE
840077,1961/06/08,"7 h 26 min 54 sec","BASSE-DURANCE (BEAUMONT-DE-PERTUIS)",VAUCLUSE,,913438.65,6298134.87,43.75,5.65,4.5,"ASSEZ SURE"
880032,1961/07/22,"22 h 4 min 45 sec","VOSGES COMTOISES (LE VAL-D'AJOL)",VOSGES,,962349.79,6768762.66,47.97,6.52,4,"ASSEZ SURE"
30023,1961/10/17,"2 h 30 min 57 sec","HAUTE-MARCHE (MONTLUCON)",BOURBONNAIS,,687175.39,6579653.66,46.32,2.83,5,"ASSEZ SURE"
730179,1961/10/26,"16 h 59 min 39 sec","CHAUTAGNE (CHINDRIEUX)","ALPES SAVOYARDES",,922617.22,6526305.19,45.80,5.87,4,"ASSEZ SURE"
170078,1962/02/02,"3 h 26 min 4 sec","SAINTONGE (ST-JEAN-D'ANGELY)",CHARENTES,,437184.29,6555685.47,46.05,-0.40,5,SURE
610012,1962/02/18,"5 h 43 min 35 sec","BOCAGE NORMAND (LANDISACQ)",NORMANDIE,,433042.86,6857983.48,48.77,-0.63,5,SURE
180022,1962/03/07,"1 h 25 min 33 sec","CHAMPAGNE BERRICHONNE (LES AIX-D'ANGILLON)",BERRY,,668466.07,6679680.00,47.22,2.58,3.5,"ASSEZ SURE"
350038,1962/03/14,"20 h 54 min 50 sec","PAYS DE REDON (LA CHAPELLE-SAINT-MELAINE)",BRETAGNE,,327736.94,6745001.41,47.70,-1.97,5,"ASSEZ SURE"
380066,1962/04/12,"13 h 38 min 5 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,5,SURE
380067,1962/04/12,"20 h 12 min 0 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,PRECURSEUR,902095.83,6440405.94,45.03,5.57,4.5,"ASSEZ SURE"
380070,1962/04/25,"4 h 44 min 48 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,,902095.83,6440405.94,45.03,5.57,7.5,SURE
380071,1962/04/27,"4 h 17 min 43 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,902216.14,6436705.78,45.00,5.57,5,"ASSEZ SURE"
740090,1962/05/12,"19 h 21 min 27 sec","GENEVOIS (SERRAVAL)","ALPES SAVOYARDES",,961424.02,6527837.70,45.80,6.37,3.5,"ASSEZ SURE"
380072,1962/05/28,"16 h 21 min 27 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,900903.48,6436663.24,45.00,5.55,5,"ASSEZ SURE"
380073,1962/06/07,"19 h 55 min 15 sec","VERCORS (CORRENCON-EN-VERCORS)",DAUPHINE,REPLIQUE,902155.98,6438555.92,45.02,5.57,5,"ASSEZ SURE"
380074,1962/07/15,"4 h 36 min 11 sec","VERCORS (MONTEYNARD)",DAUPHINE,PRECURSEUR,905024.18,6431241.43,44.95,5.60,5,"ASSEZ SURE"
310028,1962/07/27,"21 h 4 min","HAUT-COMMINGES (ANTIGNAC)","PYRENEES CENTRALES",,502173.53,6193824.41,42.82,0.58,4,"ASSEZ SURE"
640353,1962/10/23,"0 h 30 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,417162.95,6217393.36,43.00,-0.47,4,INCERTAINE
640354,1962/10/23,"5 h 20 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,419961.43,6219126.01,43.02,-0.43,4,INCERTAINE
640355,1962/10/23,"6 h 15 min","OSSAU (ASTE-BEON)","PYRENEES OCCIDENTALES",,421319.93,6219067.05,43.02,-0.42,4,INCERTAINE
60098,1963/03/11,"10 h 28 min 15 sec","MONTAGNES DU HAUT-VAR (PUGET-THENIERS)","ALPES MARITIMES",,1010188.01,6326225.63,43.97,6.87,3,"ASSEZ SURE"
650390,1963/04/23,"20 h 3 min","BIGORRE (GERMS-SUR-L'OUSSOUET ?)","PYRENEES CENTRALES",,458144.76,6221287.04,43.05,0.03,4,"ASSEZ SURE"
