"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","1130575","1502/05","","7","I","PIEMONT (CUNEO)","ITALIE",""
"","1130576","1502/09/23","","7","I","PIEMONT (CUNEO)","ITALIE",""
"","1100009","1504/08/23","23 h","6.5","C","HAUTES-FAGNES (AIX-LA-CHAPELLE)","ALLEMAGNE",""
"","1110222","1509/10/18","20 h","7.5","E","JURA SOUABE ?","ALLEMAGNE",""
"","40002","1509/12/13","11 h","8","C","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM"
"","790004","1512/08/25","","4.5","I","GATINE (ST-MAIXENT-L'ECOLE)","POITOU",""
"","180002","1522/06/25","22 h","7.5","E","PLATEAU MERIDIONAL (LE GRAND-PRESSIGNY ?)","TOURAINE",""
"","1120161","1523/05/19","3 h","5.5","C","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1110007","1523/12/27","23 h 55 min","6.5","C","FORET NOIRE (FREIBURG)","ALLEMAGNE",""
"","1120185","1523/12/28","1 h","5","I","JURA SUISSE (BALE)","SUISSE",""
"","1120315","1524/04/19","","8","C","VALAIS (ARDON, CONTHEY)","SUISSE",""
"","1120186","1527/02/07","12 h","4","I","LAC LEMAN (GENEVE)","SUISSE",""
"","1120344","1533/12/27","","5","I","JURA SUISSE (BALE)","SUISSE",""
"","640494","1537/09/22","17 h","7","I","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",""
"","730002","1542/05/14","20 h","6.5","E","PIEMONT (PINEROLO ?)","ITALIE",""
"","810006","1543/09/03","22 h","4.5","I","ALBIGEOIS ?","LANGUEDOC",""
"","640569","1543/09/14","","5","I","BEARN (MAULEON)","PYRENEES OCCIDENTALES",""
"","350003","1544","","5","I","BASSIN DE RENNES (RENNES)","BRETAGNE",""
"","140004","1544/10/06","21 h","5","I","BESSIN (BAYEUX)","NORMANDIE",""
"","330020","1545/03","","3","I","BASSE VALLEE DE LA GARONNE ?","GUYENNE",""
"","330021","1545/08","","5","E","BASSE VALLEE DE LA GARONNE ?","GUYENNE",""
"","310002","1546/04/21","12 h","6","E","GAILLACOIS ?","LANGUEDOC",""
"","680015","1548/02/09","","5.5","E","SUNDGAU ?","ALSACE",""
"","260002","1549/01/16","22 h","5","C","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE","GROUPE DE SECOUSSES D UN ESSAIM"
"","260003","1549/05/04","22 h","6","I","BASSIN DE MONTELIMAR (MONTELIMAR)","DAUPHINE",""
"","1130567","1549/05/13","9 h","7","C","RIVIERA DI PONENTE (SAVONA)","ITALIE",""
"","1130564","1550/02/28","17 h","7","C","PIEMONT (CUNEO)","ITALIE",""
"","1150114","1551/05/25","11 h","7","C","SURREY (CROYDON)","GRANDE-BRETAGNE",""
"","680016","1552/09/16","3 h","5.5","E","SUNDGAU ?","ALSACE",""
"","1100032","1554/03/21","23 h 55 min","6","E","LIMBOURG (N. GENK ?)","BELGIQUE",""
"","370040","1557/07/01","19 h","3.5","I","GATINE-DE-LOCHES (LA GUERCHE)","TOURAINE",""
"","60010","1564/07/20","20 h","8","C","ALPES NICOISES (LA BOLLENE-VESUBIE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM"
"","840093","1568/11/08","","5","B","BARONNIES (MALAUCENE)","VAUCLUSE",""
"","1120190","1569/08/06","5 h","6","I","JURA SUISSE (BALE)","SUISSE",""
"","630080","1570/07/31","18 h","5","I","LIMAGNE (RIOM)","AUVERGNE",""
"","430003","1570/08/15","","5.5","I","VELAY (LE PUY)","AUVERGNE",""
"","850052","1572/03/26","","4","I","PLAINE VENDEENNE (FONTENAY-LE-COMTE)","PAYS NANTAIS ET VENDEEN",""
"","690026","1573/06/24","","4.5","I","LYONNAIS (LYON)","FOREZ-LYONNAIS",""
"","1120191","1574/07/30","21 h","5","I","JURA SUISSE (BALE)","SUISSE",""
"","1120343","1575/04/25","11 h","5","I","GENEVOIS (GENEVE)","SUISSE",""
